0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
8.0,19.0,55.0,44.0,30.0,23.0,22.0,17.0,9.0,27.0,28.0,31.0,33.0,25.0,21.0,18.0,-3.0,7.0,16.0,23.0,21.0,19.0,14.0,1.0,2
5.0,10.0,57.0,50.0,21.0,6.0,4.0,-2.0,-8.0,12.0,21.0,11.0,-12.0,-6.0,-5.0,-12.0,16.0,13.0,2.0,-7.0,-16.0,-9.0,-4.0,2.0,2
-8.0,-2.0,38.0,7.0,-14.0,-6.0,-6.0,-11.0,-26.0,-8.0,8.0,13.0,17.0,2.0,-5.0,-8.0,-18.0,3.0,21.0,17.0,7.0,-1.0,-5.0,-7.0,2
5.0,8.0,-334.0,11.0,3.0,5.0,-4.0,1.0,-2.0,-2.0,8.0,10.0,1.0,4.0,-1.0,0.0,10.0,11.0,11.0,11.0,10.0,10.0,6.0,8.0,2
-32.0,-25.0,-79.0,-7.0,-15.0,-16.0,-21.0,-23.0,-16.0,-23.0,-8.0,-3.0,-16.0,-17.0,-16.0,-14.0,1.0,-1.0,3.0,-1.0,-11.0,-11.0,-10.0,-5.0,2
-32.0,-35.0,-27.0,-54.0,-24.0,-28.0,-30.0,-28.0,-3.0,-30.0,-33.0,-31.0,-32.0,-31.0,-30.0,-26.0,-10.0,-14.0,-26.0,-25.0,-35.0,-32.0,-25.0,-21.0,2
-33.0,-32.0,-273.0,-33.0,-39.0,-25.0,-30.0,-52.0,3.0,-28.0,-21.0,29.0,42.0,12.0,-8.0,-12.0,-28.0,-37.0,-14.0,17.0,22.0,-5.0,-62.0,-86.0,2
84.0,69.0,170.0,20.0,33.0,40.0,74.0,200.0,183.0,63.0,-32.0,20.0,96.0,32.0,25.0,41.0,85.0,139.0,108.0,95.0,162.0,151.0,353.0,342.0,2
-18.0,-23.0,-67.0,-14.0,-14.0,-21.0,-32.0,-96.0,-15.0,13.0,-7.0,2.0,1.0,15.0,21.0,15.0,-9.0,-9.0,-13.0,-14.0,-27.0,-28.0,-37.0,-53.0,2
3.0,8.0,39.0,61.0,19.0,-3.0,0.0,0.0,-6.0,5.0,18.0,4.0,-17.0,-4.0,2.0,5.0,2.0,4.0,-1.0,-6.0,-9.0,-5.0,2.0,4.0,2
-25.0,-28.0,21.0,-15.0,-9.0,-22.0,-63.0,-159.0,-20.0,1.0,-8.0,-10.0,-5.0,-9.0,-8.0,-22.0,-137.0,-81.0,-52.0,-51.0,-91.0,-147.0,-453.0,-495.0,2
-2.0,5.0,-104.0,23.0,10.0,0.0,-6.0,-9.0,-10.0,-7.0,-7.0,-3.0,-14.0,-6.0,-5.0,-6.0,3.0,0.0,-8.0,-14.0,-29.0,-22.0,-20.0,-27.0,2
-29.0,-18.0,7.0,-2.0,1.0,-9.0,-13.0,-19.0,-15.0,-12.0,-2.0,-5.0,-11.0,-14.0,-16.0,-19.0,-1.0,-12.0,-11.0,-7.0,-10.0,-12.0,-13.0,-10.0,2
-11.0,-6.0,3.0,-24.0,-16.0,5.0,8.0,0.0,-2.0,-6.0,-10.0,2.0,19.0,6.0,3.0,-2.0,-1.0,-5.0,-4.0,2.0,7.0,1.0,-3.0,-5.0,2
-43.0,-49.0,-204.0,-4.0,-36.0,-20.0,-23.0,-48.0,-57.0,-52.0,-2.0,-29.0,-68.0,-32.0,-23.0,-23.0,-20.0,-25.0,-41.0,-46.0,-80.0,-66.0,-98.0,-112.0,2
-26.0,-53.0,-219.0,27.0,5.0,10.0,3.0,-26.0,-50.0,-50.0,-55.0,-10.0,-32.0,2.0,7.0,0.0,-64.0,-118.0,-77.0,-45.0,-50.0,-38.0,-75.0,-96.0,2
13.0,13.0,14.0,6.0,22.0,13.0,13.0,8.0,3.0,1.0,35.0,38.0,26.0,16.0,14.0,11.0,-19.0,-32.0,22.0,26.0,30.0,14.0,14.0,16.0,2
38.0,45.0,-115.0,32.0,-39.0,1.0,9.0,8.0,29.0,39.0,28.0,13.0,-2.0,-1.0,0.0,-4.0,54.0,17.0,5.0,-12.0,-31.0,-20.0,-5.0,13.0,2
-14.0,-20.0,-98.0,-242.0,-54.0,-13.0,-6.0,-14.0,0.0,-9.0,-4.0,-30.0,-110.0,-52.0,-19.0,-16.0,-4.0,-1.0,-96.0,-88.0,-113.0,-73.0,-45.0,-46.0,2
-11.0,3.0,-909.0,-10.0,-22.0,-17.0,-15.0,-7.0,-1.0,-43.0,-17.0,-15.0,-12.0,-19.0,-14.0,-6.0,-11.0,-20.0,-18.0,-18.0,-14.0,-14.0,-14.0,-20.0,2
-45.0,-30.0,-1103.0,-35.0,-33.0,-30.0,-33.0,-48.0,-33.0,-56.0,-34.0,-26.0,-54.0,-20.0,-22.0,-37.0,-30.0,-32.0,-29.0,-29.0,-32.0,-18.0,-10.0,-16.0,2
-17.0,44.0,453.0,132.0,69.0,-16.0,-33.0,-82.0,9.0,27.0,22.0,7.0,-28.0,-29.0,-22.0,-29.0,-30.0,0.0,-25.0,-35.0,-66.0,-35.0,-32.0,-24.0,2
-13.0,-10.0,29.0,-8.0,-6.0,-5.0,0.0,2.0,3.0,-9.0,-4.0,3.0,-3.0,-2.0,-3.0,0.0,13.0,-14.0,-9.0,-3.0,-11.0,-10.0,-8.0,-5.0,2
-23.0,-31.0,8.0,-31.0,-29.0,-24.0,-32.0,-32.0,-21.0,-39.0,-14.0,-16.0,22.0,-12.0,-19.0,-18.0,-16.0,-33.0,-17.0,0.0,23.0,2.0,-14.0,-18.0,2
28.0,35.0,-3.0,39.0,40.0,12.0,10.0,6.0,3.0,15.0,6.0,43.0,3.0,11.0,10.0,8.0,-1.0,5.0,17.0,13.0,-4.0,5.0,9.0,0.0,2
-32.0,-28.0,-2.0,16.0,20.0,-12.0,-22.0,-24.0,-26.0,-19.0,-7.0,-7.0,-16.0,-20.0,-23.0,-21.0,-1.0,-15.0,-6.0,-8.0,-22.0,-22.0,-19.0,-9.0,2
-29.0,-18.0,-209.0,-3.0,-1.0,-15.0,-61.0,-204.0,-11.0,6.0,4.0,4.0,3.0,5.0,6.0,-8.0,-182.0,-68.0,-35.0,-37.0,-77.0,-154.0,-547.0,-860.0,2
16.0,-4.0,127.0,-14.0,25.0,-6.0,25.0,179.0,7.0,-15.0,-11.0,-82.0,-84.0,-49.0,-16.0,-2.0,43.0,57.0,30.0,-7.0,4.0,35.0,183.0,185.0,2
-25.0,-27.0,-30.0,-4.0,-27.0,-26.0,-25.0,-26.0,-18.0,-22.0,-34.0,-40.0,-39.0,-26.0,-22.0,-22.0,-5.0,1.0,-27.0,-28.0,-19.0,-14.0,-18.0,-19.0,2
-1.0,-4.0,87.0,18.0,0.0,-11.0,-14.0,-6.0,-17.0,5.0,-8.0,-2.0,-12.0,-11.0,-8.0,0.0,0.0,-17.0,-36.0,-28.0,-26.0,-17.0,-9.0,3.0,2
-52.0,-30.0,81.0,-5.0,-16.0,-15.0,-20.0,-22.0,-20.0,-13.0,-18.0,-13.0,-13.0,-16.0,-15.0,-15.0,-8.0,-31.0,-22.0,-16.0,-15.0,-13.0,-8.0,-3.0,2
-20.0,16.0,-762.0,-18.0,-68.0,-40.0,-38.0,-64.0,-20.0,20.0,-52.0,-70.0,-52.0,-25.0,-24.0,-30.0,-9.0,-22.0,-54.0,-49.0,-54.0,-51.0,-94.0,-110.0,2
-30.0,-58.0,-101.0,-68.0,-77.0,-41.0,-43.0,-82.0,-20.0,-34.0,-29.0,-48.0,-25.0,2.0,0.0,-7.0,-35.0,-45.0,-50.0,-39.0,-45.0,-46.0,-116.0,-127.0,2
3.0,5.0,7.0,32.0,14.0,-1.0,3.0,0.0,5.0,4.0,-3.0,-26.0,-69.0,-20.0,-6.0,-2.0,-14.0,-24.0,-83.0,-72.0,-57.0,-29.0,-12.0,-13.0,2
12.0,27.0,-1051.0,13.0,-3.0,11.0,14.0,15.0,1.0,-23.0,6.0,12.0,-16.0,5.0,3.0,0.0,6.0,1.0,6.0,4.0,2.0,8.0,6.0,3.0,2
-36.0,-35.0,14.0,-2.0,14.0,-6.0,-13.0,-18.0,-19.0,-53.0,-46.0,-9.0,-3.0,-6.0,-7.0,-7.0,-20.0,-4.0,5.0,-1.0,4.0,4.0,6.0,8.0,2
-36.0,-41.0,-257.0,-48.0,-70.0,-42.0,-40.0,-70.0,-85.0,-41.0,-166.0,-93.0,-81.0,-33.0,-31.0,-35.0,-69.0,-95.0,-78.0,-81.0,-90.0,-79.0,-128.0,-146.0,2
17.0,21.0,-138.0,21.0,16.0,21.0,27.0,21.0,30.0,14.0,17.0,18.0,12.0,20.0,23.0,25.0,15.0,14.0,11.0,11.0,11.0,13.0,12.0,11.0,2
-50.0,-46.0,-401.0,-19.0,-42.0,-37.0,-43.0,-70.0,-11.0,-16.0,-5.0,-26.0,-56.0,-16.0,-9.0,-10.0,-24.0,-28.0,-24.0,-23.0,-47.0,-44.0,-89.0,-91.0,2
-55.0,-52.0,-269.0,-58.0,-47.0,-28.0,-35.0,-81.0,-62.0,-19.0,-64.0,-42.0,-19.0,-7.0,-19.0,-30.0,-45.0,-93.0,-148.0,-81.0,-48.0,-47.0,-136.0,-152.0,2
-37.0,-32.0,-37.0,-20.0,7.0,-1.0,-8.0,-10.0,-31.0,-27.0,-23.0,3.0,12.0,1.0,-6.0,-6.0,-14.0,-7.0,1.0,5.0,8.0,3.0,-4.0,-8.0,2
-35.0,-34.0,79.0,-73.0,-25.0,-20.0,-26.0,-29.0,-29.0,-17.0,-47.0,-24.0,-13.0,-21.0,-25.0,-26.0,-21.0,-16.0,-30.0,-28.0,-20.0,-22.0,-22.0,-27.0,2
15.0,54.0,-424.0,145.0,25.0,5.0,6.0,5.0,-19.0,17.0,19.0,8.0,-39.0,-2.0,0.0,-3.0,-57.0,-29.0,-17.0,-16.0,-13.0,-10.0,-24.0,-28.0,2
-15.0,-24.0,12.0,49.0,-5.0,-10.0,-9.0,0.0,-11.0,-24.0,-4.0,-20.0,-2.0,-3.0,-5.0,-1.0,-11.0,-21.0,-3.0,-4.0,5.0,5.0,5.0,5.0,2
-3.0,-3.0,-29.0,34.0,23.0,2.0,-3.0,-2.0,10.0,-6.0,24.0,15.0,-20.0,-8.0,-3.0,2.0,0.0,1.0,10.0,1.0,-27.0,-12.0,1.0,8.0,2
5.0,15.0,66.0,14.0,23.0,22.0,19.0,7.0,-3.0,0.0,-14.0,25.0,15.0,16.0,13.0,5.0,-9.0,-28.0,25.0,23.0,17.0,13.0,8.0,6.0,2
1.0,-14.0,-10.0,8.0,-7.0,-7.0,-7.0,-2.0,-31.0,-32.0,17.0,5.0,-5.0,-7.0,-8.0,-7.0,-31.0,-37.0,19.0,10.0,7.0,0.0,-3.0,-11.0,2
42.0,14.0,654.0,9.0,54.0,34.0,52.0,96.0,-12.0,-29.0,-12.0,59.0,175.0,50.0,12.0,8.0,-52.0,-33.0,39.0,52.0,43.0,5.0,-64.0,-117.0,2
17.0,8.0,12.0,77.0,51.0,15.0,10.0,14.0,29.0,12.0,19.0,19.0,-24.0,-5.0,3.0,7.0,0.0,6.0,-10.0,-11.0,-16.0,-9.0,5.0,11.0,2
-37.0,-46.0,-316.0,-42.0,-69.0,-37.0,-36.0,-45.0,-32.0,-49.0,-39.0,-55.0,-31.0,-23.0,-23.0,-22.0,-29.0,-52.0,-57.0,-47.0,-26.0,-28.0,-48.0,-57.0,2
31.0,8.0,165.0,112.0,103.0,12.0,37.0,184.0,54.0,-47.0,141.0,108.0,11.0,-15.0,-12.0,9.0,29.0,-20.0,91.0,107.0,120.0,137.0,407.0,489.0,2
-3.0,-20.0,387.0,12.0,37.0,8.0,-8.0,-57.0,23.0,33.0,37.0,39.0,58.0,32.0,20.0,7.0,-7.0,25.0,10.0,5.0,-27.0,-37.0,-127.0,-154.0,2
24.0,24.0,-184.0,-15.0,-32.0,15.0,25.0,19.0,32.0,17.0,8.0,8.0,21.0,34.0,40.0,42.0,35.0,30.0,32.0,33.0,47.0,33.0,23.0,31.0,2
-9.0,0.0,21.0,27.0,16.0,7.0,6.0,-4.0,-20.0,-3.0,5.0,8.0,13.0,7.0,3.0,-1.0,-9.0,-4.0,3.0,7.0,12.0,6.0,2.0,-9.0,2
-18.0,-15.0,-171.0,-18.0,-25.0,-13.0,-16.0,-34.0,-48.0,-31.0,2.0,-5.0,-66.0,-27.0,-20.0,-23.0,-46.0,-63.0,7.0,4.0,-42.0,-33.0,-53.0,-71.0,2
21.0,12.0,-5.0,8.0,-16.0,7.0,14.0,13.0,7.0,6.0,4.0,-4.0,-35.0,-3.0,10.0,13.0,10.0,-3.0,2.0,-8.0,-10.0,-9.0,-11.0,-12.0,2
42.0,20.0,-42.0,22.0,-6.0,14.0,30.0,46.0,69.0,7.0,26.0,26.0,44.0,32.0,32.0,42.0,-11.0,36.0,35.0,15.0,17.0,17.0,19.0,20.0,2
-20.0,-16.0,-323.0,-2.0,0.0,-8.0,-44.0,-140.0,-24.0,3.0,0.0,6.0,9.0,17.0,17.0,-7.0,-14.0,-3.0,-5.0,-2.0,-14.0,-12.0,-11.0,-66.0,2
-3.0,-3.0,38.0,-14.0,10.0,-7.0,-9.0,-2.0,25.0,6.0,9.0,3.0,-22.0,-11.0,-5.0,1.0,13.0,12.0,13.0,7.0,2.0,-1.0,-1.0,5.0,2
-21.0,-15.0,-371.0,-8.0,8.0,10.0,17.0,5.0,-85.0,-9.0,5.0,13.0,-10.0,20.0,10.0,-8.0,2.0,-2.0,-4.0,-4.0,-19.0,-12.0,-14.0,-31.0,2
-18.0,-26.0,10.0,11.0,-35.0,-24.0,-33.0,-77.0,-57.0,-14.0,5.0,-14.0,-3.0,2.0,-10.0,-18.0,-21.0,-19.0,3.0,-7.0,-27.0,-35.0,-148.0,-144.0,2
-7.0,-2.0,47.0,-26.0,-27.0,-12.0,-12.0,-12.0,-12.0,14.0,29.0,-12.0,0.0,-5.0,-6.0,-5.0,-24.0,-20.0,-30.0,-13.0,6.0,4.0,-7.0,-11.0,2
-7.0,-10.0,-49.0,29.0,-2.0,-17.0,-19.0,-16.0,-22.0,-10.0,-42.0,-22.0,-22.0,-17.0,-18.0,-19.0,-9.0,-13.0,-19.0,-11.0,-21.0,-10.0,-6.0,-6.0,2
2.0,-16.0,-108.0,-18.0,-1.0,2.0,-1.0,1.0,-4.0,-23.0,-16.0,-9.0,14.0,7.0,5.0,11.0,-17.0,-53.0,-19.0,-1.0,11.0,2.0,-12.0,-14.0,2
