0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0.0,0.0,-1.0,-1.0,2.0,7.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,3.0,10.0,7.0,2.0,8.0,4.0,2.0,1.0,-5.0,-5.0,5.0,3
37.0,9.0,3.0,0.0,49.0,45.0,-118.0,34.0,-10.0,32.0,12.0,33.0,68.0,24.0,-227.0,-391.0,-65.0,-20.0,29.0,-37.0,9.0,39.0,-28.0,-101.0,3
-18.0,-16.0,-16.0,-10.0,-4.0,25.0,-37.0,-27.0,5.0,-14.0,-12.0,-8.0,11.0,49.0,30.0,10.0,2.0,10.0,6.0,10.0,27.0,39.0,28.0,8.0,3
-5.0,-57.0,-71.0,-61.0,9.0,27.0,-19.0,15.0,259.0,68.0,21.0,25.0,23.0,52.0,56.0,-187.0,-17.0,-39.0,-21.0,-29.0,-5.0,7.0,-33.0,-68.0,3
-10.0,-7.0,-5.0,1.0,13.0,25.0,29.0,17.0,94.0,5.0,10.0,10.0,26.0,66.0,99.0,58.0,11.0,18.0,15.0,18.0,21.0,23.0,17.0,17.0,3
17.0,18.0,17.0,19.0,19.0,17.0,29.0,28.0,24.0,19.0,21.0,19.0,21.0,15.0,10.0,17.0,16.0,23.0,17.0,19.0,23.0,27.0,20.0,11.0,3
-27.0,-23.0,-21.0,-11.0,2.0,29.0,-16.0,-18.0,11.0,-17.0,-8.0,0.0,21.0,37.0,8.0,-6.0,1.0,8.0,8.0,13.0,30.0,44.0,53.0,-1.0,3
193.0,176.0,149.0,121.0,48.0,-53.0,140.0,119.0,-360.0,145.0,93.0,68.0,-14.0,-170.0,-315.0,-168.0,29.0,-37.0,5.0,11.0,-19.0,-57.0,-88.0,-46.0,3
-15.0,-11.0,-9.0,-1.0,0.0,8.0,-4.0,-10.0,-13.0,-14.0,-6.0,-4.0,3.0,12.0,-1.0,-3.0,2.0,21.0,19.0,12.0,13.0,11.0,26.0,47.0,3
145.0,108.0,75.0,55.0,12.0,-78.0,-11.0,19.0,-507.0,98.0,45.0,27.0,-35.0,-163.0,-333.0,-291.0,-76.0,-114.0,-95.0,-57.0,-49.0,-51.0,-127.0,-139.0,3
16.0,15.0,14.0,12.0,-5.0,-51.0,-10.0,5.0,-55.0,4.0,2.0,0.0,-15.0,-31.0,-89.0,-19.0,-12.0,-17.0,-16.0,-15.0,-13.0,-11.0,0.0,-9.0,3
-25.0,-15.0,-12.0,-5.0,-11.0,-140.0,-86.0,-33.0,41.0,-15.0,-9.0,-8.0,14.0,5.0,19.0,-3.0,0.0,32.0,12.0,-3.0,-11.0,-34.0,-105.0,-20.0,3
-27.0,-25.0,-24.0,-27.0,-28.0,-18.0,-30.0,-31.0,-27.0,-26.0,-22.0,-23.0,-21.0,-28.0,-22.0,-35.0,-23.0,-18.0,-20.0,-19.0,-21.0,-19.0,-22.0,-27.0,3
5.0,-4.0,-11.0,-31.0,-66.0,-182.0,-38.0,-26.0,-56.0,-15.0,-30.0,-43.0,-78.0,-160.0,-97.0,-69.0,-32.0,-62.0,-53.0,-62.0,-59.0,-61.0,-89.0,-70.0,3
12.0,11.0,12.0,14.0,18.0,21.0,21.0,20.0,23.0,15.0,16.0,19.0,19.0,20.0,21.0,21.0,14.0,21.0,23.0,19.0,21.0,25.0,27.0,23.0,3
-5.0,-5.0,-7.0,-3.0,1.0,15.0,15.0,14.0,0.0,-1.0,1.0,0.0,6.0,17.0,-14.0,4.0,14.0,8.0,9.0,11.0,17.0,27.0,46.0,12.0,3
39.0,16.0,1.0,12.0,23.0,20.0,80.0,80.0,21.0,16.0,10.0,7.0,5.0,-22.0,18.0,24.0,27.0,1.0,3.0,14.0,-9.0,-28.0,-33.0,-2.0,3
165.0,151.0,132.0,114.0,89.0,230.0,52.0,19.0,-376.0,120.0,88.0,73.0,68.0,89.0,-152.0,-45.0,37.0,-45.0,-5.0,21.0,8.0,-17.0,-29.0,12.0,3
-3.0,-6.0,-8.0,-9.0,-10.0,-12.0,-9.0,-11.0,-6.0,-3.0,-6.0,-7.0,-9.0,-7.0,-5.0,1.0,1.0,8.0,1.0,-2.0,-5.0,1.0,13.0,4.0,3
2.0,3.0,3.0,5.0,7.0,20.0,16.0,17.0,-23.0,2.0,7.0,6.0,8.0,-7.0,-15.0,-18.0,3.0,12.0,9.0,11.0,10.0,8.0,-6.0,5.0,3
-9.0,-10.0,-10.0,-14.0,-10.0,-8.0,-11.0,-12.0,-11.0,-10.0,-8.0,-10.0,-8.0,-9.0,-3.0,-5.0,-5.0,-4.0,-2.0,-5.0,-7.0,-3.0,-1.0,-4.0,3
4.0,1.0,0.0,4.0,17.0,18.0,22.0,31.0,37.0,7.0,9.0,11.0,29.0,27.0,43.0,34.0,18.0,29.0,29.0,23.0,29.0,34.0,25.0,20.0,3
12.0,19.0,23.0,20.0,23.0,49.0,27.0,40.0,41.0,8.0,8.0,2.0,-14.0,-29.0,-4.0,-7.0,4.0,29.0,8.0,-3.0,-47.0,-91.0,-124.0,-15.0,3
-12.0,-12.0,-14.0,-8.0,1.0,26.0,-33.0,-74.0,-93.0,-22.0,-25.0,-23.0,-2.0,35.0,-69.0,-27.0,-43.0,-122.0,-100.0,-49.0,-33.0,-37.0,-64.0,-86.0,3
76.0,54.0,29.0,-4.0,-77.0,-61.0,-44.0,-12.0,-680.0,-14.0,-61.0,-76.0,-155.0,-296.0,-559.0,-280.0,-163.0,-283.0,-201.0,-184.0,-158.0,-157.0,-136.0,-156.0,3
